Timestamp,DateTime,AgentID,Zone,CPU(%),RAM(%),TotalRAM(GB),Disk(%),TotalDisk(GB),FreeDisk(GB)
1762330279160,2025-11-05 15:11:19,Quang,Local-Machine,1.70,88.50,15.74,58.73,476.01,196.47
1762330280115,2025-11-05 15:11:20,Quang,Local-Machine,1.22,88.62,15.74,58.73,476.01,196.47
1762330281090,2025-11-05 15:11:21,Quang,Local-Machine,0.81,88.29,15.74,58.73,476.01,196.47
1762330282155,2025-11-05 15:11:22,Quang,Local-Machine,1.45,88.33,15.74,58.73,476.01,196.47
1762330283140,2025-11-05 15:11:23,Quang,Local-Machine,1.19,89.00,15.74,58.73,476.01,196.47
1762330284150,2025-11-05 15:11:24,Quang,Local-Machine,1.17,88.86,15.74,58.73,476.01,196.47
1762330285156,2025-11-05 15:11:25,Quang,Local-Machine,0.78,88.92,15.74,58.73,476.01,196.47
1762330286165,2025-11-05 15:11:26,Quang,Local-Machine,1.16,88.37,15.74,58.73,476.01,196.47
1762330287156,2025-11-05 15:11:27,Quang,Local-Machine,0.79,87.66,15.74,58.73,476.01,196.47
1762330288202,2025-11-05 15:11:28,Quang,Local-Machine,1.50,87.60,15.74,58.73,476.01,196.47
1762330289172,2025-11-05 15:11:29,Quang,Local-Machine,1.00,87.55,15.74,58.73,476.01,196.47
1762330290200,2025-11-05 15:11:30,Quang,Local-Machine,1.33,87.06,15.74,58.73,476.01,196.47
1762330291176,2025-11-05 15:11:31,Quang,Local-Machine,2.01,87.02,15.74,58.73,476.01,196.47
